text,intent,response,entities
report lost card,block_card,🚫 Your card has been blocked successfully.,card_type
end my banking account,close_account,🔒 Your account closure request is being processed.,account_type
how to apply for loan,apply_loan,📝 Let's start your loan application!,loan_type
open current account,open_account,🏦 Sure! Let's open your new account.,account_type
freeze my card,block_card,🚫 Your card has been blocked successfully.,card_type
cancel my bank account,close_account,🔒 Your account closure request is being processed.,account_type
disable my card,block_card,🚫 Your card has been blocked successfully.,card_type
something is wrong with my account,complaint,⚠️ Your complaint has been registered. We’ll get back soon.,
how to apply for loan,apply_loan,📝 Let's start your loan application!,loan_type
enable my card,unblock_card,✅ Your card is now unblocked and ready to use.,card_type
something is wrong with my account,complaint,⚠️ Your complaint has been registered. We’ll get back soon.,
how are you,greet,😃 Hello! How can I assist you today?,
good morning,greet,😃 Hello! How can I assist you today?,
I want a gold loan,apply_loan,📝 Let's start your loan application!,loan_type
resume my debit card,unblock_card,✅ Your card is now unblocked and ready to use.,card_type
tell me my balance,check_balance,💰 Please share your account number to check your balance.,account_type
send 1500 rupees,transfer_money,💸 Please confirm recipient name and amount to transfer.,"amount,person_name"
hey there,greet,😃 Hello! How can I assist you today?,
pay 200 to Arun,transfer_money,💸 Please confirm recipient name and amount to transfer.,"amount,person_name"
hello,greet,😃 Hello! How can I assist you today?,
hey,greet,😃 Hello! How can I assist you today?,
hi,greet,😃 Hello! How can I assist you today?,
report lost card,block_card,🚫 Your card has been blocked successfully.,card_type
what’s up,greet,😃 Hello! How can I assist you today?,
what is my account balance,check_balance,💰 Please share your account number to check your balance.,account_type
current balance please,check_balance,💰 Please share your account number to check your balance.,account_type
deactivate account,close_account,🔒 Your account closure request is being processed.,account_type
shut down my account,close_account,🔒 Your account closure request is being processed.,account_type
how much money do I have,check_balance,💰 Please share your account number to check your balance.,account_type
shut down my account,close_account,🔒 Your account closure request is being processed.,account_type
open current account,open_account,🏦 Sure! Let's open your new account.,account_type
cancel my card,block_card,🚫 Your card has been blocked successfully.,card_type
view loan details,loan_info,📄 Fetching your loan details now.,loan_type
freeze my card,block_card,🚫 Your card has been blocked successfully.,card_type
open current account,open_account,🏦 Sure! Let's open your new account.,account_type
something is wrong with my account,complaint,⚠️ Your complaint has been registered. We’ll get back soon.,
end my banking account,close_account,🔒 Your account closure request is being processed.,account_type
report unauthorized transaction,complaint,⚠️ Your complaint has been registered. We’ll get back soon.,
what is my account balance,check_balance,💰 Please share your account number to check your balance.,account_type
unblock my card,unblock_card,✅ Your card is now unblocked and ready to use.,card_type
start a loan application,apply_loan,📝 Let's start your loan application!,loan_type
shut down my account,close_account,🔒 Your account closure request is being processed.,account_type
what’s up,greet,😃 Hello! How can I assist you today?,
loan account details,loan_info,📄 Fetching your loan details now.,loan_type
file a complaint,complaint,⚠️ Your complaint has been registered. We’ll get back soon.,
lost my credit card,block_card,🚫 Your card has been blocked successfully.,card_type
good afternoon,greet,😃 Hello! How can I assist you today?,
register complaint,complaint,⚠️ Your complaint has been registered. We’ll get back soon.,
lost my credit card,block_card,🚫 Your card has been blocked successfully.,card_type
hey,greet,😃 Hello! How can I assist you today?,
apply for home loan,apply_loan,📝 Let's start your loan application!,loan_type
how are you,greet,😃 Hello! How can I assist you today?,
raise a service complaint,complaint,⚠️ Your complaint has been registered. We’ll get back soon.,
close my account,close_account,🔒 Your account closure request is being processed.,account_type
show my balance,check_balance,💰 Please share your account number to check your balance.,account_type
show my balance,check_balance,💰 Please share your account number to check your balance.,account_type
need a new account,open_account,🏦 Sure! Let's open your new account.,account_type
can I see my balance,check_balance,💰 Please share your account number to check your balance.,account_type
delete my bank account,close_account,🔒 Your account closure request is being processed.,account_type
check my balance,check_balance,💰 Please share your account number to check your balance.,account_type
hey,greet,😃 Hello! How can I assist you today?,
open my card again,unblock_card,✅ Your card is now unblocked and ready to use.,card_type
what’s up,greet,😃 Hello! How can I assist you today?,
start a savings account,open_account,🏦 Sure! Let's open your new account.,account_type
cancel my card,block_card,🚫 Your card has been blocked successfully.,card_type
show my loan details,loan_info,📄 Fetching your loan details now.,loan_type
turn on my card,unblock_card,✅ Your card is now unblocked and ready to use.,card_type
view loan details,loan_info,📄 Fetching your loan details now.,loan_type
transfer money to John,transfer_money,💸 Please confirm recipient name and amount to transfer.,"amount,person_name"
turn on my card,unblock_card,✅ Your card is now unblocked and ready to use.,card_type
cancel my card,block_card,🚫 Your card has been blocked successfully.,card_type
transfer to my savings account,transfer_money,💸 Please confirm recipient name and amount to transfer.,"amount,person_name"
send 1500 rupees,transfer_money,💸 Please confirm recipient name and amount to transfer.,"amount,person_name"
create new bank account,open_account,🏦 Sure! Let's open your new account.,account_type
cancel my bank account,close_account,🔒 Your account closure request is being processed.,account_type
I want to raise a complaint,complaint,⚠️ Your complaint has been registered. We’ll get back soon.,
I want to delete my account,close_account,🔒 Your account closure request is being processed.,account_type
display my balance,check_balance,💰 Please share your account number to check your balance.,account_type
hey,greet,😃 Hello! How can I assist you today?,
report unauthorized transaction,complaint,⚠️ Your complaint has been registered. We’ll get back soon.,
submit complaint,complaint,⚠️ Your complaint has been registered. We’ll get back soon.,
I want to delete my account,close_account,🔒 Your account closure request is being processed.,account_type
check my balance,check_balance,💰 Please share your account number to check your balance.,account_type
open my card again,unblock_card,✅ Your card is now unblocked and ready to use.,card_type
I want a gold loan,apply_loan,📝 Let's start your loan application!,loan_type
resume my debit card,unblock_card,✅ Your card is now unblocked and ready to use.,card_type
how much loan do I have,loan_info,📄 Fetching your loan details now.,loan_type
block my card,block_card,🚫 Your card has been blocked successfully.,card_type
I misplaced my card,block_card,🚫 Your card has been blocked successfully.,card_type
I need a car loan,apply_loan,📝 Let's start your loan application!,loan_type
show my balance,check_balance,💰 Please share your account number to check your balance.,account_type
good morning,greet,😃 Hello! How can I assist you today?,
report lost card,block_card,🚫 Your card has been blocked successfully.,card_type
check my balance,check_balance,💰 Please share your account number to check your balance.,account_type
available funds,check_balance,💰 Please share your account number to check your balance.,account_type
check my balance,check_balance,💰 Please share your account number to check your balance.,account_type
hey,greet,😃 Hello! How can I assist you today?,
hello,greet,😃 Hello! How can I assist you today?,
loan statement,loan_info,📄 Fetching your loan details now.,loan_type
balance enquiry,check_balance,💰 Please share your account number to check your balance.,account_type
get my loan info,loan_info,📄 Fetching your loan details now.,loan_type
hello,greet,😃 Hello! How can I assist you today?,
end my banking account,close_account,🔒 Your account closure request is being processed.,account_type
transfer money to John,transfer_money,💸 Please confirm recipient name and amount to transfer.,"amount,person_name"
cancel my bank account,close_account,🔒 Your account closure request is being processed.,account_type
send 1000 to my friend,transfer_money,💸 Please confirm recipient name and amount to transfer.,"amount,person_name"
show my balance,check_balance,💰 Please share your account number to check your balance.,account_type
restore my card,unblock_card,✅ Your card is now unblocked and ready to use.,card_type
send 1500 rupees,transfer_money,💸 Please confirm recipient name and amount to transfer.,"amount,person_name"
show my balance,check_balance,💰 Please share your account number to check your balance.,account_type
report lost card,block_card,🚫 Your card has been blocked successfully.,card_type
what’s up,greet,😃 Hello! How can I assist you today?,
terminate my account,close_account,🔒 Your account closure request is being processed.,account_type
freeze my card,block_card,🚫 Your card has been blocked successfully.,card_type
submit complaint,complaint,⚠️ Your complaint has been registered. We’ll get back soon.,
show my balance,check_balance,💰 Please share your account number to check your balance.,account_type
register complaint,complaint,⚠️ Your complaint has been registered. We’ll get back soon.,
show my balance,check_balance,💰 Please share your account number to check your balance.,account_type
make a transfer,transfer_money,💸 Please confirm recipient name and amount to transfer.,"amount,person_name"
balance enquiry,check_balance,💰 Please share your account number to check your balance.,account_type
get my loan info,loan_info,📄 Fetching your loan details now.,loan_type
what’s up,greet,😃 Hello! How can I assist you today?,
transfer money to John,transfer_money,💸 Please confirm recipient name and amount to transfer.,"amount,person_name"
delete my bank account,close_account,🔒 Your account closure request is being processed.,account_type
close current account,close_account,🔒 Your account closure request is being processed.,account_type
how much money do I have,check_balance,💰 Please share your account number to check your balance.,account_type
how are you,greet,😃 Hello! How can I assist you today?,
enable my card,unblock_card,✅ Your card is now unblocked and ready to use.,card_type
block my ATM card,block_card,🚫 Your card has been blocked successfully.,card_type
cancel my card,block_card,🚫 Your card has been blocked successfully.,card_type
